Rôle,Type,Jour,Heure,Déclencheur,Contenu envoyé,Canal,Condition d'envoi,Règle anti-spam,Fichier
Apprenant,Cron,Lundi,09:00,Cron action-reminder,"👀 Coucou {prénom} ! Ça fait X jours qu'on ne s'est pas vus... T'as tenté un truc qu'on pourrait noter ?",Push web + cloche,"10+ jours calendaires sans action, ≥ 1 action existante, inscrit ≥ 5 jours",—,app/api/cron/action-reminder/route.ts
Apprenant,Cron,Mardi,08:00,Cron weekly-tip,"💡 Ton coach a un message · {axe} : ""{contenu du tip}""",Push web + cloche,"Au moins 1 axe actif. Tip pré-généré lundi 17h par Claude",—,app/api/cron/weekly-tip/route.ts
Apprenant,Cron,Mercredi,08:00,Cron action-digest,"💪 Ton équipe avance ! N nouvelle(s) action(s) cette semaine dans ton groupe. Va voir !",Push web + cloche,Coéquipiers (excluant moi) ont posté ≥ 1 action depuis lundi 00:00,—,app/api/cron/action-digest/route.ts
Apprenant,Cron,Vendredi,08:00,Cron weekly-reminder,"☀️ Check-in de la semaine ! {prénom}, c'est le moment de faire le point sur ta semaine. 2 minutes suffisent !",Push web + cloche,"Inscrit ≥ 5 jours, check-in pas fait pour la semaine ISO courante, re-vérifié avant envoi",—,app/api/cron/weekly-reminder/route.ts
Apprenant,Événement,Variable,—,Formateur like mon action,❤️ J'aime · {nom} a aimé ton action « {description tronquée 40c} »,Push web + cloche,Formateur ≠ auteur,Pas de self-like,app/actions/feedback.ts
Apprenant,Événement,Variable,—,Formateur commente mon action,💬 Commentaire · {nom} a commenté ton action,Push web + cloche,Formateur ≠ auteur,—,app/actions/feedback.ts
Apprenant,Événement,Variable,—,Formateur m'envoie un message privé,💬 Nouveau message · {début du message, 50c}…,Push web + cloche,Message 1-1000 caractères,—,app/api/messages/route.ts
Apprenant,Événement,Variable,—,Formateur envoie un message team,📢 Message de {nom} · {début du message, 60c}…,Push web uniquement (pas cloche),"Formateur, message ≤ 500 caractères",—,app/api/team-messages/route.ts
Apprenant,Modal,À l'ouverture app,—,Check-in prompt,"C'est le moment ! Check-in de {weekLabel} — ça prend 2 minutes (+ streak affiché si ≥ 1)",Modal plein écran,"Fenêtre ven 18h → lun 18h, check-in pas fait",Réapparait à chaque ouverture tant que pas fait,app/components/PromptModals.tsx
Apprenant,Modal,À l'ouverture app,—,Coach Gift prompt,"Ampoule à allumer → tip révélé (mantra + conseil + exemple)",Modal plein écran,"Tip existe avec acted=false",Skip bloque 1 journée (reset minuit),app/components/PromptModals.tsx
Apprenant,Modal,À l'ouverture app,—,Action Relance prompt,Ça fait X jours ! T'as rien noté depuis... C'est le moment de revenir en piste ?,Modal plein écran,10+ jours sans action,Skip bloque 1 journée,app/components/PromptModals.tsx
Apprenant,Modal,À l'ouverture app,—,Quiz prompt,Quiz de la semaine · Commencer 🎯,Modal plein écran,"Semaine ISO paire, quiz pas joué",Skip bloque 1 semaine,app/components/PromptModals.tsx
Apprenant,Client,Continu,—,Polling cloche,Update du badge rouge + badge app (iOS/Android),Badge,Toutes les 60 secondes + visibilitychange,—,app/components/NotificationBell.tsx
Apprenant,Client,Continu,—,Halo pulsant sur icônes À faire,Pulse visuel,CSS animation,"Check-in pas fait OU tip non lu OU messages non lus",—,app/(learner)/dashboard/DashboardClient.tsx
Formateur,Backend,Lundi,17:00,Cron pre-generate-tips,Claude pré-génère les tips pour chaque apprenant,Aucune notif (backend),≥ 1 apprenant avec axes,—,app/api/cron/pre-generate-tips/route.ts
Formateur,Cron,Mercredi,08:00,Cron action-digest,💪 Activité de la semaine · N action(s) enregistrée(s) en X jour(s) par vos apprenants.,Push web + cloche,Total actions du groupe depuis lundi 00:00 > 0,—,app/api/cron/action-digest/route.ts
Formateur,Backend,Jeudi,08:00,Cron generate-quizzes,Claude génère 4 questions par groupe basé sur le brief,Aucune notif (backend),"Semaines ISO paires, brief ≥ 20 caractères",—,app/api/cron/generate-quizzes/route.ts
Formateur,Backend,Dimanche,20:00,Cron generate-team-news,Claude rédige résumé activité hebdo par groupe,Aucune notif (backend),Groupe avec ≥ 1 apprenant,—,app/api/cron/generate-team-news/route.ts
Formateur,Événement,Variable,—,Apprenant m'envoie un message privé,💬 Nouveau message · {début du message, 50c}…,Push web + cloche,Message 1-1000 caractères,—,app/api/messages/route.ts
Formateur,Événement,Variable,—,Apprenant poste une action (v1.31),"⚡ {Prénom} vient d'agir · {axe} · « {description 60c} »",Push web + cloche,"Apprenant appartient à un groupe avec trainer_id",Pas de throttling (chaque action = 1 push),lib/notify-trainer.ts
Formateur,Événement,Variable,—,Apprenant fait son check-in (v1.31),"{météo emoji} Check-in de {Prénom} · {what_worked 60c}",Push web + cloche,"Check-in validé, apprenant dans un groupe",1 push par check-in (1/semaine max),lib/notify-trainer.ts
Formateur,Événement,Variable,—,Apprenant complète un quiz (v1.31),"🎯 Quiz de {Prénom} · Score {n}/{total}",Push web + cloche,"Quiz complété (4 réponses finalisées), apprenant dans un groupe",1 push par quiz (1/quinzaine max),lib/notify-trainer.ts
Formateur,Bandeau,À l'ouverture /trainer/dashboard,—,Bandeau check-ins en attente,⏰ N check-in(s) en attente + liste prénoms cliquables,Bandeau in-page,"Fenêtre ven-lun, ≥ 1 apprenant pas validé",—,app/(trainer)/trainer/dashboard/TrainerDashboardClient.tsx
Formateur,Bandeau,À l'ouverture /trainer/dashboard,—,Bandeau inactifs 15j (v1.31),🔴 N apprenant(s) sans activité depuis 15 jours + liste prénoms cliquables,Bandeau in-page,≥ 1 apprenant jauge rouge,—,app/(trainer)/trainer/dashboard/TrainerDashboardClient.tsx
Formateur,Client,Continu,—,Polling cloche,Update du badge rouge + badge app,Badge,Toutes les 60 secondes + visibilitychange,—,app/components/NotificationBell.tsx
